observation_date,NFCI
2000-01-07,-0.16729
2000-01-14,-0.18403
2000-01-21,-0.19672
2000-01-28,-0.20310
2000-02-04,-0.20248
2000-02-11,-0.19885
2000-02-18,-0.19225
2000-02-25,-0.18242
2000-03-03,-0.16941
2000-03-10,-0.15010
2000-03-17,-0.12584
2000-03-24,-0.10006
2000-03-31,-0.07613
2000-04-07,-0.05899
2000-04-14,-0.04555
2000-04-21,-0.03359
2000-04-28,-0.01891
2000-05-05,0.00069
2000-05-12,0.02181
2000-05-19,0.04131
2000-05-26,0.05537
2000-06-02,0.06073
2000-06-09,0.05752
2000-06-16,0.04849
2000-06-23,0.03420
2000-06-30,0.01559
2000-07-07,-0.00926
2000-07-14,-0.03937
2000-07-21,-0.07270
2000-07-28,-0.10650
2000-08-04,-0.13651
2000-08-11,-0.16020
2000-08-18,-0.17602
2000-08-25,-0.18616
2000-09-01,-0.19323
2000-09-08,-0.19706
2000-09-15,-0.19856
2000-09-22,-0.19584
2000-09-29,-0.18899
2000-10-06,-0.17955
2000-10-13,-0.16902
2000-10-20,-0.16232
2000-10-27,-0.15906
2000-11-03,-0.15561
2000-11-10,-0.14790
2000-11-17,-0.13193
2000-11-24,-0.10757
2000-12-01,-0.07916
2000-12-08,-0.05521
2000-12-15,-0.04461
2000-12-22,-0.05005
2000-12-29,-0.07534
2001-01-05,-0.11209
2001-01-12,-0.15390
2001-01-19,-0.19409
2001-01-26,-0.22726
2001-02-02,-0.25210
2001-02-09,-0.26873
2001-02-16,-0.27721
2001-02-23,-0.27712
2001-03-02,-0.27164
2001-03-09,-0.26215
2001-03-16,-0.25090
2001-03-23,-0.24370
2001-03-30,-0.24480
2001-04-06,-0.25392
2001-04-13,-0.27463
2001-04-20,-0.30179
2001-04-27,-0.33088
2001-05-04,-0.35963
2001-05-11,-0.38373
2001-05-18,-0.40111
2001-05-25,-0.41477
2001-06-01,-0.42532
2001-06-08,-0.43409
2001-06-15,-0.44206
2001-06-22,-0.44906
2001-06-29,-0.45571
2001-07-06,-0.46345
2001-07-13,-0.47297
2001-07-20,-0.48457
2001-07-27,-0.49849
2001-08-03,-0.51003
2001-08-10,-0.51154
2001-08-17,-0.49976
2001-08-24,-0.47210
2001-08-31,-0.43310
2001-09-07,-0.39002
2001-09-14,-0.35182
2001-09-21,-0.32774
2001-09-28,-0.32384
2001-10-05,-0.33160
2001-10-12,-0.34890
2001-10-19,-0.36927
2001-10-26,-0.38833
2001-11-02,-0.40058
2001-11-09,-0.40491
2001-11-16,-0.40090
2001-11-23,-0.38587
2001-11-30,-0.36455
2001-12-07,-0.34271
2001-12-14,-0.32885
2001-12-21,-0.32835
2001-12-28,-0.34505
2002-01-04,-0.37355
2002-01-11,-0.40897
2002-01-18,-0.44171
2002-01-25,-0.46514
2002-02-01,-0.47819
2002-02-08,-0.48335
2002-02-15,-0.48483
2002-02-22,-0.48482
2002-03-01,-0.48661
2002-03-08,-0.48854
2002-03-15,-0.49052
2002-03-22,-0.49355
2002-03-29,-0.49906
2002-04-05,-0.51001
2002-04-12,-0.52816
2002-04-19,-0.55191
2002-04-26,-0.57794
2002-05-03,-0.60301
2002-05-10,-0.62001
2002-05-17,-0.62853
2002-05-24,-0.62676
2002-05-31,-0.61744
2002-06-07,-0.60185
2002-06-14,-0.58262
2002-06-21,-0.56039
2002-06-28,-0.53543
2002-07-05,-0.50860
2002-07-12,-0.48053
2002-07-19,-0.45531
2002-07-26,-0.43457
2002-08-02,-0.42183
2002-08-09,-0.41374
2002-08-16,-0.41053
2002-08-23,-0.40579
2002-08-30,-0.39856
2002-09-06,-0.38676
2002-09-13,-0.37363
2002-09-20,-0.36137
2002-09-27,-0.35361
2002-10-04,-0.35184
2002-10-11,-0.35729
2002-10-18,-0.37049
2002-10-25,-0.38720
2002-11-01,-0.40730
2002-11-08,-0.42684
2002-11-15,-0.44320
